,ss,sod,sdd,dd,condition_no
587,5,21,45,5,24161574.2828748
588,5,22,32,0,91970362.2259943
589,5,22,32,1,185828913.604908
590,5,22,32,2,14159220.4877708
591,5,22,32,3,6550857.05774043
592,5,22,32,4,8027125.94900072
593,5,22,32,5,8250792.52479983
594,5,22,33,0,91970362.2259943
595,5,22,33,1,175618645.885128
596,5,22,33,2,29740656.0126373
597,5,22,33,3,6963265.2003082
598,5,22,33,4,16429174.5509146
599,5,22,33,5,8768026.09493687
600,5,22,34,0,91970362.2259943
601,5,22,34,1,187282423.873408
602,5,22,34,2,29666974.1535162
603,5,22,34,3,7959071.91303893
604,5,22,34,4,24360111.5039508
605,5,22,34,5,16971129.1892565
606,5,22,35,0,91970362.2259943
607,5,22,35,1,183309974.690936
608,5,22,35,2,28184183.3065184
609,5,22,35,3,6789942.97948141
610,5,22,35,4,8386556.50334838
611,5,22,35,5,17426735.7593012
612,5,22,36,0,91970362.2259943
613,5,22,36,1,150587306.230663
614,5,22,36,2,28121189.8844988
615,5,22,36,3,7535899.4277482
616,5,22,36,4,30577321.8363071
617,5,22,36,5,16586134.2260673
618,5,22,37,0,91970362.2259943
619,5,22,37,1,122684830.707928
620,5,22,37,2,16765835.9104368
621,5,22,37,3,7361373.05370332
622,5,22,37,4,28887192.2952471
623,5,22,37,5,17123739.4654843
624,5,22,38,0,91970362.2259943
625,5,22,38,1,97552815.1151421
626,5,22,38,2,19098834.0577603
627,5,22,38,3,7533184.66982412
628,5,22,38,4,24891690.408997
629,5,22,38,5,9812064.96075464
630,5,22,39,0,91970362.2259943
631,5,22,39,1,79256369.4684316
632,5,22,39,2,20032680.6723134
633,5,22,39,3,6456106.6733296
634,5,22,39,4,23393106.8053443
635,5,22,39,5,8414107.93159037
636,5,22,40,0,91970362.2259943
637,5,22,40,1,69063220.4340369
638,5,22,40,2,20026135.6918161
639,5,22,40,3,12987481.9228012
640,5,22,40,4,24075558.9949561
641,5,22,40,5,8027125.94900072
642,5,22,41,0,91970362.2259943
643,5,22,41,1,70087134.3029679
644,5,22,41,2,19119806.3302664
645,5,22,41,3,15204737.6120402
646,5,22,41,4,38409167.2279857
647,5,22,41,5,9438862.36183112
648,5,22,42,0,91970362.2259943
649,5,22,42,1,52484882.1473918
650,5,22,42,2,18408339.8541358
651,5,22,42,3,7108325.04253322
652,5,22,42,4,7683604.80554313
653,5,22,42,5,8428410.32254879
654,5,22,43,0,91970362.2259943
655,5,22,43,1,52278437.6834904
656,5,22,43,2,19419545.3608459
657,5,22,43,3,7581651.98575369
658,5,22,43,4,7358054.53661413
659,5,22,43,5,16273280.7259939
660,5,22,44,0,91970362.2259943
661,5,22,44,1,44421288.8563809
662,5,22,44,2,20582924.5318843
663,5,22,44,3,8418953.0926328
664,5,22,44,4,6963265.2003082
665,5,22,44,5,15827212.3345933
666,5,22,45,0,91970362.2259943
